实验时间,"时间		",分数,方块数量,备注,点击位置
20:08:53,87.2,302,29,effective,"[['right', [580, -20], [313, 317]], ['down', [580, -20], [294, 314]], ['left', [580, -20], [232, 177]], ['up', [580, -20], [445, 246]], ['right', [580, -20], [418, 405]], ['down', [580, -20], [393, 408]], ['left', [580, -20], [442, 412]], ['down', [580, -20], [439, 412]], ['right', [580, -20], [559, 435]], ['down', [580, -20], [376, 400]], ['left', [580, -20], [377, 298]], ['up', [580, -20], [427, 37]], ['right', [580, -20], [398, 175]], ['down', [580, -20], [212, 254]], ['left', [580, -20], [214, 251]], ['down', [580, -20], [398, 402]], ['right', [580, -20], [369, 267]], ['up', [580, -20], [233, 135]], ['left', [580, -20], [253, 291]], ['down', [580, -20], [25, 369]], ['left', [580, -20], [38, 165]], ['up', [580, -20], [476, 402]], ['right', [580, -20], [512, 393]], ['down', [580, -20], [437, 409]], ['left', [580, -20], [317, 289]], ['up', [580, -20], [381, 311]], ['right', [580, -20], [444, 353]], ['down', [580, -20], [374, 353]], ['left', [580, -20], [43, 76]], ['up', [580, -20], [42, 135]], ['left', [580, -20], [52, 100]], ['up', [580, -20], [245, 173]], ['right', [580, -20], [350, 123]], ['down', [580, -20], [350, 120]], ['left', [580, -20], [285, 101]], ['up', [580, -20], [196, 95]], ['left', [580, -20], [131, 325]], ['down', [580, -20], [266, 294]], ['right', [580, -20], [310, 280]], ['up', [580, -20], [272, 307]], ['right', [580, -20], [272, 317]], ['down', [580, -20], [210, 313]], ['left', [580, -20], [176, 313]], ['up', [580, -20], [118, 254]], ['left', [580, -20], [172, 373]], ['down', [580, -20], [167, 390]], ['right', [580, -20], [436, 434]], ['down', [580, -20], [472, 414]], ['right', [580, -20], [433, 312]], ['up', [580, -20], [376, 383]], ['left', [580, -20], [468, 415]], ['down', [580, -20], [350, 406]], ['left', [580, -20], [275, 303]], ['up', [580, -20], [361, 296]], ['right', [580, -20], [303, 106]], ['up', [580, -20], [239, 129]], ['left', [580, -20], [302, 240]], ['down', [580, -20], [467, 450]], ['right', [580, -20], [439, 330]], ['up', [580, -20], [219, 196]], ['left', [580, -20], [332, 104]], ['up', [580, -20], [380, 79]], ['right', [580, -20], [495, 215]], ['down', [580, -20], [189, 343]], ['left', [580, -20], [143, 304]], ['up', [580, -20], [86, 168]], ['left', [580, -20], [145, 221]], ['down', [580, -20], [363, 323]], ['right', [580, -20], [353, 187]], ['up', [580, -20], [197, 214]], ['left', [580, -20], [209, 222]], ['down', [580, -20], [351, 268]], ['right', [580, -20], [461, 229]], ['up', [580, -20], [338, 276]], ['left', [580, -20], [322, 233]], ['down', [580, -20], [322, 233]], ['right', [580, -20], [351, 346]], ['down', [580, -20], [444, 313]], ['right', [580, -20], [414, 245]], ['up', [580, -20], [402, 267]], ['left', [580, -20], [357, 230]], ['down', [580, -20], [372, 240]], ['right', [580, -20], [279, 261]], ['down', [580, -20], [147, 243]], ['left', [580, -20], [195, 243]], ['up', [580, -20], [169, 244]], ['left', [580, -20], [214, 191]], ['up', [580, -20], [271, 224]], ['right', [580, -20], [471, 227]], ['down', [580, -20], [360, 239]], ['left', [580, -20], [350, 276]], ['up', [580, -20], [359, 284]], ['right', [580, -20], [438, 187]]]"
20:09:25,20.93,40,5,effective,"[['right', [640, -20], [325, 357]], ['down', [640, -20], [412, 283]], ['right', [640, -20], [528, 203]], ['up', [640, -20], [605, 271]], ['right', [640, -20], [616, 310]], ['down', [640, -20], [632, 316]], ['right', [640, -20], [626, 314]], ['down', [640, -20], [346, 263]], ['left', [640, -20], [227, 117]], ['up', [640, -20], [222, 123]], ['left', [640, -20], [222, 121]], ['up', [640, -20], [323, 142]], ['right', [640, -20], [571, 207]], ['down', [640, -20], [593, 307]], ['right', [640, -20], [599, 310]], ['up', [640, -20], [277, 231]], ['left', [640, -20], [480, 423]], ['down', [640, -20], [618, 341]], ['right', [640, -20], [606, 232]]]"
,,,,,
20:18:03,35.07,76,9,effective,"[['right', [120, -20], [315, 312]], ['down', [120, -20], [395, 288]], ['right', [120, -20], [553, 151]], ['up', [120, -20], [316, 175]], ['left', [120, -20], [75, 115]], ['down', [120, -20], [279, 91]], ['right', [120, -20], [265, 91]], ['up', [120, -20], [274, 93]], ['left', [120, -20], [226, 186]], ['down', [120, -20], [498, 168]], ['right', [120, -20], [529, 150]], ['up', [120, -20], [287, 63]], ['left', [120, -20], [267, 46]], ['down', [120, -20], [72, 451]], ['left', [120, -20], [75, 451]], ['up', [120, -20], [470, 300]], ['right', [120, -20], [609, 175]], ['up', [120, -20], [466, 188]], ['left', [120, -20], [305, 192]], ['down', [120, -20], [312, 191]], ['right', [120, -20], [312, 191]], ['up', [120, -20], [312, 191]], ['left', [120, -20], [312, 191]], ['down', [120, -20], [230, 177]], ['left', [120, -20], [115, 150]], ['up', [120, -20], [53, 47]], ['left', [120, -20], [53, 47]], ['up', [120, -20], [53, 47]], ['left', [120, -20], [53, 47]], ['up', [120, -20], [53, 47]], ['left', [120, -20], [53, 47]], ['up', [120, -20], [53, 47]], ['left', [120, -20], [53, 47]]]"
20:18:36,20.04,24,3,effective,"[['right', [320, 500], [303, 304]], ['down', [320, 500], [307, 317]], ['left', [320, 500], [311, 317]], ['up', [320, 500], [312, 317]], ['right', [320, 500], [482, 336]], ['down', [320, 500], [293, 306]], ['left', [320, 500], [347, 264]], ['up', [320, 500], [91, 115]], ['left', [320, 500], [178, 52]], ['up', [320, 500], [64, 117]], ['left', [320, 500], [144, 250]], ['down', [320, 500], [574, 230]], ['right', [320, 500], [632, 149]], ['up', [320, 500], [345, 204]], ['left', [320, 500], [196, 154]]]"
20:19:59,79.93,135,15,effective,"[['right', [260, 500], [310, 306]], ['down', [260, 500], [310, 306]], ['left', [260, 500], [218, 85]], ['up', [260, 500], [375, 74]], ['right', [260, 500], [372, 74]], ['up', [260, 500], [372, 74]], ['right', [260, 500], [367, 273]], ['down', [260, 500], [116, 390]], ['left', [260, 500], [188, 208]], ['up', [260, 500], [393, 289]], ['right', [260, 500], [397, 440]], ['down', [260, 500], [477, 403]], ['right', [260, 500], [428, 47]], ['up', [260, 500], [372, 25]], ['left', [260, 500], [344, 192]], ['down', [260, 500], [142, 340]], ['left', [260, 500], [182, 110]], ['up', [260, 500], [292, 175]], ['right', [260, 500], [583, 316]], ['down', [260, 500], [449, 256]], ['left', [260, 500], [486, 53]], ['up', [260, 500], [432, 79]], ['left', [260, 500], [240, 27]], ['up', [260, 500], [387, 38]], ['right', [260, 500], [479, 169]], ['down', [260, 500], [606, 286]], ['right', [260, 500], [617, 38]], ['up', [260, 500], [333, 168]], ['left', [260, 500], [251, 392]], ['down', [260, 500], [494, 265]], ['right', [260, 500], [369, 230]], ['up', [260, 500], [228, 321]], ['left', [260, 500], [269, 411]], ['down', [260, 500], [477, 398]], ['right', [260, 500], [353, 322]], ['up', [260, 500], [461, 176]], ['right', [260, 500], [421, 101]], ['up', [260, 500], [485, 159]], ['right', [260, 500], [551, 185]], ['down', [260, 500], [427, 313]], ['left', [260, 500], [451, 96]], ['up', [260, 500], [499, 153]], ['right', [260, 500], [532, 287]], ['down', [260, 500], [491, 389]], ['left', [260, 500], [411, 445]], ['down', [260, 500], [91, 414]], ['left', [260, 500], [107, 412]], ['up', [260, 500], [111, 387]], ['left', [260, 500], [155, 471]], ['down', [260, 500], [29, 417]], ['left', [260, 500], [194, 413]], ['up', [260, 500], [210, 231]], ['right', [260, 500], [256, 419]], ['down', [260, 500], [67, 352]], ['left', [260, 500], [127, 326]], ['up', [260, 500], [284, 247]], ['right', [260, 500], [274, 315]], ['down', [260, 500], [148, 464]], ['left', [260, 500], [237, 203]], ['up', [260, 500], [188, 191]], ['right', [260, 500], [450, 209]], ['down', [260, 500], [200, 164]], ['left', [260, 500], [162, 111]], ['up', [260, 500], [311, 202]], ['right', [260, 500], [183, 298]], ['down', [260, 500], [76, 307]], ['left', [260, 500], [161, 242]], ['up', [260, 500], [297, 165]], ['right', [260, 500], [240, 286]]]"
,,,,,
20:41:23,26.86,16,2,effective,"[['right', [640, -20], [357, 187]], ['down', [640, -20], [287, 309]], ['left', [640, -20], [355, 261]], ['up', [640, -20], [412, 209]], ['right', [640, -20], [378, 233]], ['down', [640, -20], [286, 249]], ['left', [640, -20], [287, 193]], ['up', [640, -20], [322, 197]], ['right', [640, -20], [336, 231]], ['down', [640, -20], [272, 252]], ['left', [640, -20], [209, 399]], ['down', [640, -20], [184, 396]], ['right', [640, -20], [357, 357]], ['up', [640, -20], [303, 347]], ['left', [640, -20], [83, 382]], ['down', [640, -20], [158, 359]], ['right', [640, -20], [621, 215]]]"
20:41:46,18.15,8,1,effective,"[['right', [-20, 260], [337, 268]], ['down', [-20, 260], [378, 294]], ['right', [-20, 260], [347, 310]], ['down', [-20, 260], [309, 305]], ['left', [-20, 260], [331, 301]], ['up', [-20, 260], [308, 311]], ['right', [-20, 260], [308, 311]], ['down', [-20, 260], [265, 310]], ['left', [-20, 260], [310, 301]], ['up', [-20, 260], [339, 307]], ['right', [-20, 260], [316, 325]], ['down', [-20, 260], [276, 299]], ['left', [-20, 260], [331, 261]], ['up', [-20, 260], [368, 271]], ['right', [-20, 260], [320, 309]], ['down', [-20, 260], [324, 291]], ['left', [-20, 260], [312, 304]], ['up', [-20, 260], [92, 102]], ['left', [-20, 260], [28, 231]], ['down', [-20, 260], [19, 242]]]"
20:44:31,160.79,226,23,effective,"[['right', [-20, 480], [311, 282]], ['down', [-20, 480], [381, 318]], ['right', [-20, 480], [427, 261]], ['up', [-20, 480], [411, 286]], ['left', [-20, 480], [314, 305]], ['down', [-20, 480], [374, 260]], ['right', [-20, 480], [397, 245]], ['up', [-20, 480], [363, 243]], ['left', [-20, 480], [183, 300]], ['down', [-20, 480], [249, 283]], ['right', [-20, 480], [276, 312]], ['down', [-20, 480], [252, 350]], ['left', [-20, 480], [251, 320]], ['up', [-20, 480], [361, 317]], ['right', [-20, 480], [428, 383]], ['down', [-20, 480], [370, 393]], ['left', [-20, 480], [378, 368]], ['up', [-20, 480], [429, 409]], ['right', [-20, 480], [426, 416]], ['down', [-20, 480], [351, 392]], ['left', [-20, 480], [345, 368]], ['up', [-20, 480], [344, 374]], ['right', [-20, 480], [353, 397]], ['down', [-20, 480], [353, 397]], ['left', [-20, 480], [336, 333]], ['up', [-20, 480], [423, 341]], ['right', [-20, 480], [367, 361]], ['down', [-20, 480], [310, 364]], ['left', [-20, 480], [318, 348]], ['up', [-20, 480], [388, 356]], ['right', [-20, 480], [446, 389]], ['down', [-20, 480], [465, 394]], ['right', [-20, 480], [436, 376]], ['up', [-20, 480], [421, 376]], ['left', [-20, 480], [456, 390]], ['down', [-20, 480], [491, 387]], ['right', [-20, 480], [482, 378]], ['up', [-20, 480], [453, 383]], ['left', [-20, 480], [465, 387]], ['down', [-20, 480], [467, 387]], ['right', [-20, 480], [554, 236]], ['up', [-20, 480], [441, 251]], ['left', [-20, 480], [505, 278]], ['down', [-20, 480], [402, 346]], ['left', [-20, 480], [399, 300]], ['up', [-20, 480], [424, 238]], ['right', [-20, 480], [502, 315]], ['down', [-20, 480], [302, 325]], ['left', [-20, 480], [90, 229]], ['up', [-20, 480], [143, 226]], ['right', [-20, 480], [499, 319]], ['down', [-20, 480], [353, 305]], ['left', [-20, 480], [267, 333]], ['down', [-20, 480], [346, 323]], ['right', [-20, 480], [344, 245]], ['up', [-20, 480], [254, 285]], ['left', [-20, 480], [294, 342]], ['down', [-20, 480], [409, 337]], ['right', [-20, 480], [379, 373]], ['down', [-20, 480], [248, 383]], ['left', [-20, 480], [268, 365]], ['up', [-20, 480], [362, 266]], ['right', [-20, 480], [373, 355]], ['down', [-20, 480], [272, 396]], ['left', [-20, 480], [320, 350]], ['up', [-20, 480], [600, 270]], ['right', [-20, 480], [379, 324]], ['down', [-20, 480], [238, 354]], ['left', [-20, 480], [245, 261]], ['up', [-20, 480], [322, 307]], ['right', [-20, 480], [457, 222]], ['up', [-20, 480], [428, 231]], ['left', [-20, 480], [350, 262]], ['down', [-20, 480], [388, 252]], ['right', [-20, 480], [426, 125]], ['up', [-20, 480], [319, 125]], ['left', [-20, 480], [116, 234]], ['down', [-20, 480], [207, 217]], ['right', [-20, 480], [210, 197]], ['up', [-20, 480], [174, 260]], ['left', [-20, 480], [210, 320]], ['down', [-20, 480], [120, 359]], ['left', [-20, 480], [133, 246]], ['up', [-20, 480], [225, 163]], ['right', [-20, 480], [285, 142]], ['up', [-20, 480], [381, 179]], ['left', [-20, 480], [469, 201]], ['down', [-20, 480], [457, 240]], ['right', [-20, 480], [382, 123]], ['up', [-20, 480], [325, 135]], ['left', [-20, 480], [138, 265]], ['down', [-20, 480], [332, 422]], ['right', [-20, 480], [317, 358]], ['up', [-20, 480], [160, 241]], ['left', [-20, 480], [182, 403]], ['down', [-20, 480], [195, 399]], ['right', [-20, 480], [362, 323]], ['up', [-20, 480], [238, 316]], ['left', [-20, 480], [178, 420]], ['down', [-20, 480], [344, 427]], ['right', [-20, 480], [317, 397]], ['up', [-20, 480], [317, 397]], ['left', [-20, 480], [171, 361]], ['down', [-20, 480], [208, 371]], ['right', [-20, 480], [476, 273]], ['up', [-20, 480], [476, 273]], ['left', [-20, 480], [283, 309]], ['down', [-20, 480], [425, 306]], ['right', [-20, 480], [455, 295]], ['up', [-20, 480], [248, 191]], ['left', [-20, 480], [284, 280]], ['down', [-20, 480], [196, 303]], ['left', [-20, 480], [159, 216]], ['up', [-20, 480], [355, 251]], ['right', [-20, 480], [305, 332]], ['down', [-20, 480], [210, 373]], ['left', [-20, 480], [122, 258]], ['up', [-20, 480], [541, 282]], ['right', [-20, 480], [360, 367]], ['down', [-20, 480], [206, 365]], ['left', [-20, 480], [165, 292]], ['up', [-20, 480], [426, 369]], ['right', [-20, 480], [318, 431]], ['down', [-20, 480], [253, 433]], ['left', [-20, 480], [251, 379]], ['up', [-20, 480], [348, 384]], ['right', [-20, 480], [356, 413]], ['down', [-20, 480], [332, 422]], ['left', [-20, 480], [260, 364]], ['up', [-20, 480], [276, 367]], ['right', [-20, 480], [289, 376]], ['down', [-20, 480], [273, 384]], ['left', [-20, 480], [280, 381]], ['up', [-20, 480], [302, 357]], ['right', [-20, 480], [331, 372]], ['down', [-20, 480], [295, 378]], ['left', [-20, 480], [292, 372]], ['up', [-20, 480], [393, 360]], ['right', [-20, 480], [384, 386]], ['down', [-20, 480], [310, 397]], ['left', [-20, 480], [309, 380]], ['up', [-20, 480], [310, 379]], ['right', [-20, 480], [328, 376]], ['down', [-20, 480], [313, 380]]]"
