实验时间,"时间		",分数,方块数量,备注,点击位置
,,,,,
20:50:19,15,32,4,effective,"[['right', [660, 200], [296, 196]], ['down', [660, 200], [357, 250]], ['right', [660, 200], [540, 185]], ['up', [660, 200], [494, 300]], ['left', [660, 200], [479, 308]], ['down', [660, 200], [535, 377]], ['right', [660, 200], [539, 385]], ['down', [660, 200], [490, 289]], ['left', [660, 200], [370, 213]], ['up', [660, 200], [389, 206]]]"
20:50:44,22.06,32,4,effective,"[['right', [640, 500], [377, 255]], ['down', [640, 500], [419, 307]], ['right', [640, 500], [419, 307]], ['down', [640, 500], [418, 304]], ['right', [640, 500], [319, 52]], ['up', [640, 500], [236, 29]], ['left', [640, 500], [293, 130]], ['down', [640, 500], [482, 111]], ['right', [640, 500], [464, 83]], ['up', [640, 500], [365, 93]], ['left', [640, 500], [386, 133]], ['down', [640, 500], [423, 212]], ['right', [640, 500], [376, 190]], ['up', [640, 500], [376, 190]], ['left', [640, 500], [482, 258]], ['down', [640, 500], [580, 235]], ['right', [640, 500], [569, 226]], ['up', [640, 500], [595, 228]], ['right', [640, 500], [391, 207]]]"
20:52:25,97.01,125,14,effective,"[['right', [-20, 480], [271, 243]], ['down', [-20, 480], [425, 281]], ['right', [-20, 480], [370, 326]], ['down', [-20, 480], [342, 287]], ['right', [-20, 480], [314, 256]], ['up', [-20, 480], [236, 323]], ['left', [-20, 480], [355, 352]], ['down', [-20, 480], [380, 339]], ['right', [-20, 480], [440, 203]], ['up', [-20, 480], [397, 304]], ['left', [-20, 480], [330, 389]], ['down', [-20, 480], [159, 387]], ['right', [-20, 480], [171, 381]], ['down', [-20, 480], [69, 370]], ['left', [-20, 480], [27, 386]], ['down', [-20, 480], [123, 384]], ['right', [-20, 480], [49, 398]], ['up', [-20, 480], [29, 389]], ['left', [-20, 480], [133, 407]], ['down', [-20, 480], [203, 390]], ['right', [-20, 480], [161, 225]], ['up', [-20, 480], [77, 285]], ['left', [-20, 480], [83, 332]], ['down', [-20, 480], [71, 235]], ['left', [-20, 480], [97, 218]], ['up', [-20, 480], [192, 234]], ['right', [-20, 480], [87, 333]], ['down', [-20, 480], [55, 363]], ['left', [-20, 480], [93, 186]], ['up', [-20, 480], [157, 209]], ['right', [-20, 480], [59, 146]], ['up', [-20, 480], [129, 239]], ['left', [-20, 480], [120, 285]], ['down', [-20, 480], [165, 303]], ['right', [-20, 480], [248, 331]], ['down', [-20, 480], [258, 336]], ['left', [-20, 480], [477, 317]], ['up', [-20, 480], [516, 347]], ['right', [-20, 480], [572, 396]], ['down', [-20, 480], [382, 381]], ['left', [-20, 480], [386, 247]], ['up', [-20, 480], [507, 328]], ['right', [-20, 480], [465, 335]], ['down', [-20, 480], [151, 315]], ['left', [-20, 480], [276, 122]], ['up', [-20, 480], [276, 122]], ['right', [-20, 480], [112, 227]], ['down', [-20, 480], [85, 235]], ['left', [-20, 480], [75, 146]], ['up', [-20, 480], [135, 206]], ['right', [-20, 480], [87, 332]], ['down', [-20, 480], [71, 230]], ['left', [-20, 480], [167, 191]], ['up', [-20, 480], [209, 292]], ['right', [-20, 480], [61, 335]], ['down', [-20, 480], [71, 204]], ['left', [-20, 480], [139, 141]], ['up', [-20, 480], [228, 182]], ['right', [-20, 480], [498, 209]], ['down', [-20, 480], [482, 225]], ['left', [-20, 480], [408, 249]], ['down', [-20, 480], [359, 196]], ['left', [-20, 480], [504, 114]], ['up', [-20, 480], [517, 187]], ['right', [-20, 480], [594, 194]], ['down', [-20, 480], [475, 190]], ['left', [-20, 480], [287, 166]], ['up', [-20, 480], [334, 179]], ['right', [-20, 480], [334, 188]], ['down', [-20, 480], [188, 221]], ['left', [-20, 480], [83, 188]], ['up', [-20, 480], [177, 227]], ['right', [-20, 480], [211, 251]], ['down', [-20, 480], [192, 268]], ['left', [-20, 480], [220, 282]], ['down', [-20, 480], [250, 212]], ['left', [-20, 480], [244, 206]], ['up', [-20, 480], [427, 210]], ['right', [-20, 480], [319, 270]], ['down', [-20, 480], [189, 408]], ['left', [-20, 480], [76, 353]], ['up', [-20, 480], [75, 353]], ['right', [-20, 480], [151, 425]], ['down', [-20, 480], [140, 444]]]"
,,,,,
22:39:15,110.94,250,25,effective,"[['right', [-20, 260], [348, 270]], ['down', [-20, 260], [283, 273]], ['left', [-20, 260], [382, 216]], ['up', [-20, 260], [536, 129]], ['right', [-20, 260], [534, 113]], ['up', [-20, 260], [535, 113]], ['right', [-20, 260], [535, 113]], ['down', [-20, 260], [134, 99]], ['left', [-20, 260], [236, 425]], ['down', [-20, 260], [177, 78]], ['left', [-20, 260], [184, 399]], ['down', [-20, 260], [499, 456]], ['right', [-20, 260], [553, 262]], ['up', [-20, 260], [165, 271]], ['left', [-20, 260], [196, 471]], ['down', [-20, 260], [538, 431]], ['right', [-20, 260], [512, 231]], ['up', [-20, 260], [311, 219]], ['left', [-20, 260], [336, 455]], ['down', [-20, 260], [491, 421]], ['right', [-20, 260], [453, 151]], ['up', [-20, 260], [224, 201]], ['left', [-20, 260], [101, 412]], ['down', [-20, 260], [588, 376]], ['right', [-20, 260], [594, 439]], ['down', [-20, 260], [458, 370]], ['left', [-20, 260], [187, 458]], ['down', [-20, 260], [517, 447]], ['right', [-20, 260], [347, 87]], ['up', [-20, 260], [265, 207]], ['left', [-20, 260], [377, 94]], ['up', [-20, 260], [547, 197]], ['right', [-20, 260], [455, 244]], ['down', [-20, 260], [428, 236]], ['left', [-20, 260], [224, 190]], ['down', [-20, 260], [178, 248]], ['left', [-20, 260], [212, 392]], ['down', [-20, 260], [518, 340]], ['right', [-20, 260], [486, 212]], ['up', [-20, 260], [552, 333]], ['right', [-20, 260], [423, 119]], ['up', [-20, 260], [328, 175]], ['left', [-20, 260], [63, 437]], ['down', [-20, 260], [436, 412]], ['right', [-20, 260], [433, 258]], ['up', [-20, 260], [448, 355]], ['right', [-20, 260], [543, 443]], ['down', [-20, 260], [437, 338]], ['left', [-20, 260], [445, 129]], ['up', [-20, 260], [170, 240]], ['left', [-20, 260], [128, 373]], ['down', [-20, 260], [263, 298]], ['right', [-20, 260], [292, 227]], ['up', [-20, 260], [565, 274]], ['right', [-20, 260], [477, 286]], ['down', [-20, 260], [175, 290]], ['left', [-20, 260], [145, 152]], ['up', [-20, 260], [525, 339]], ['right', [-20, 260], [335, 60]], ['up', [-20, 260], [140, 83]], ['left', [-20, 260], [116, 214]], ['down', [-20, 260], [496, 313]], ['right', [-20, 260], [544, 74]], ['up', [-20, 260], [374, 119]], ['left', [-20, 260], [222, 57]], ['up', [-20, 260], [506, 150]], ['right', [-20, 260], [531, 208]], ['down', [-20, 260], [276, 150]], ['left', [-20, 260], [182, 393]], ['down', [-20, 260], [476, 362]], ['right', [-20, 260], [331, 110]], ['up', [-20, 260], [342, 307]], ['right', [-20, 260], [459, 402]], ['down', [-20, 260], [317, 263]], ['left', [-20, 260], [295, 140]], ['up', [-20, 260], [595, 173]], ['right', [-20, 260], [525, 303]], ['down', [-20, 260], [198, 225]], ['left', [-20, 260], [95, 310]], ['down', [-20, 260], [48, 286]], ['left', [-20, 260], [195, 100]], ['up', [-20, 260], [474, 320]], ['right', [-20, 260], [209, 453]], ['down', [-20, 260], [475, 367]], ['right', [-20, 260], [420, 446]], ['down', [-20, 260], [214, 361]], ['left', [-20, 260], [222, 247]], ['up', [-20, 260], [559, 256]], ['right', [-20, 260], [578, 479]], ['down', [-20, 260], [343, 336]], ['left', [-20, 260], [397, 189]], ['up', [-20, 260], [583, 373]], ['right', [-20, 260], [564, 245]], ['down', [-20, 260], [114, 320]], ['left', [-20, 260], [300, 214]], ['up', [-20, 260], [139, 170]], ['left', [-20, 260], [194, 351]], ['down', [-20, 260], [546, 345]], ['right', [-20, 260], [481, 202]], ['up', [-20, 260], [218, 251]], ['left', [-20, 260], [259, 398]], ['down', [-20, 260], [497, 384]], ['right', [-20, 260], [507, 221]], ['up', [-20, 260], [312, 277]], ['left', [-20, 260], [306, 359]], ['down', [-20, 260], [155, 283]], ['left', [-20, 260], [107, 99]], ['up', [-20, 260], [314, 121]], ['right', [-20, 260], [215, 242]], ['down', [-20, 260], [136, 275]]]"
22:40:30,63.45,146,16,effective,"[['right', [-20, 480], [296, 354]], ['down', [-20, 480], [535, 256]], ['right', [-20, 480], [414, 95]], ['up', [-20, 480], [320, 283]], ['left', [-20, 480], [326, 346]], ['down', [-20, 480], [249, 212]], ['left', [-20, 480], [266, 132]], ['up', [-20, 480], [146, 200]], ['left', [-20, 480], [195, 279]], ['down', [-20, 480], [415, 264]], ['right', [-20, 480], [378, 281]], ['down', [-20, 480], [111, 98]], ['left', [-20, 480], [163, 71]], ['up', [-20, 480], [517, 278]], ['right', [-20, 480], [298, 296]], ['down', [-20, 480], [106, 338]], ['left', [-20, 480], [101, 392]], ['down', [-20, 480], [270, 375]], ['right', [-20, 480], [302, 294]], ['up', [-20, 480], [76, 365]], ['left', [-20, 480], [99, 446]], ['down', [-20, 480], [319, 380]], ['right', [-20, 480], [284, 274]], ['up', [-20, 480], [139, 347]], ['left', [-20, 480], [364, 221]], ['up', [-20, 480], [616, 282]], ['right', [-20, 480], [490, 339]], ['down', [-20, 480], [145, 196]], ['left', [-20, 480], [326, 144]], ['up', [-20, 480], [562, 215]], ['right', [-20, 480], [265, 303]], ['down', [-20, 480], [180, 259]], ['left', [-20, 480], [347, 197]], ['up', [-20, 480], [5, 88]], ['left', [-20, 480], [345, 417]], ['down', [-20, 480], [546, 370]], ['right', [-20, 480], [383, 195]], ['up', [-20, 480], [568, 199]], ['right', [-20, 480], [469, 325]], ['down', [-20, 480], [338, 306]], ['left', [-20, 480], [353, 431]], ['down', [-20, 480], [256, 341]], ['left', [-20, 480], [266, 246]], ['up', [-20, 480], [456, 309]], ['right', [-20, 480], [444, 339]], ['down', [-20, 480], [179, 243]], ['left', [-20, 480], [191, 403]], ['down', [-20, 480], [375, 358]], ['right', [-20, 480], [383, 280]], ['up', [-20, 480], [553, 233]], ['right', [-20, 480], [133, 70]], ['down', [-20, 480], [112, 96]], ['left', [-20, 480], [221, 76]], ['up', [-20, 480], [588, 142]], ['right', [-20, 480], [460, 217]], ['down', [-20, 480], [355, 253]], ['left', [-20, 480], [259, 118]], ['up', [-20, 480], [577, 248]], ['right', [-20, 480], [518, 342]], ['down', [-20, 480], [327, 337]], ['left', [-20, 480], [367, 101]], ['up', [-20, 480], [292, 104]], ['left', [-20, 480], [213, 254]], ['down', [-20, 480], [133, 226]], ['left', [-20, 480], [149, 171]], ['up', [-20, 480], [443, 309]], ['right', [-20, 480], [401, 308]], ['down', [-20, 480], [100, 235]], ['left', [-20, 480], [204, 204]], ['up', [-20, 480], [450, 186]], ['right', [-20, 480], [486, 289]], ['up', [-20, 480], [103, 165]], ['left', [-20, 480], [272, 402]], ['down', [-20, 480], [516, 317]], ['right', [-20, 480], [490, 396]], ['down', [-20, 480], [121, 346]]]"
22:42:25,111.95,385,35,effective,"[['right', [360, 500], [358, 254]], ['down', [360, 500], [534, 342]], ['right', [360, 500], [345, 391]], ['down', [360, 500], [534, 343]], ['right', [360, 500], [404, 194]], ['up', [360, 500], [211, 307]], ['left', [360, 500], [341, 185]], ['up', [360, 500], [511, 279]], ['right', [360, 500], [465, 158]], ['up', [360, 500], [337, 272]], ['left', [360, 500], [257, 309]], ['down', [360, 500], [103, 243]], ['left', [360, 500], [237, 200]], ['up', [360, 500], [468, 328]], ['right', [360, 500], [387, 395]], ['down', [360, 500], [486, 369]], ['right', [360, 500], [357, 230]], ['up', [360, 500], [267, 285]], ['left', [360, 500], [270, 146]], ['up', [360, 500], [296, 176]], ['right', [360, 500], [383, 202]], ['down', [360, 500], [86, 154]], ['left', [360, 500], [167, 92]], ['up', [360, 500], [395, 239]], ['right', [360, 500], [418, 38]], ['up', [360, 500], [130, 140]], ['left', [360, 500], [255, 269]], ['down', [360, 500], [210, 298]], ['left', [360, 500], [222, 225]], ['up', [360, 500], [143, 183]], ['left', [360, 500], [116, 393]], ['down', [360, 500], [340, 347]], ['right', [360, 500], [429, 258]], ['up', [360, 500], [90, 270]], ['left', [360, 500], [104, 416]], ['down', [360, 500], [335, 372]], ['right', [360, 500], [225, 104]], ['up', [360, 500], [389, 244]], ['right', [360, 500], [344, 280]], ['down', [360, 500], [197, 264]], ['left', [360, 500], [257, 89]], ['up', [360, 500], [494, 206]], ['right', [360, 500], [539, 400]], ['down', [360, 500], [107, 351]], ['left', [360, 500], [218, 234]], ['up', [360, 500], [506, 372]], ['right', [360, 500], [436, 185]], ['up', [360, 500], [288, 340]], ['left', [360, 500], [352, 465]], ['down', [360, 500], [250, 328]], ['left', [360, 500], [232, 243]], ['up', [360, 500], [140, 299]], ['left', [360, 500], [176, 386]], ['down', [360, 500], [461, 411]], ['right', [360, 500], [270, 189]], ['up', [360, 500], [109, 317]], ['left', [360, 500], [173, 155]], ['up', [360, 500], [459, 310]], ['right', [360, 500], [331, 120]], ['up', [360, 500], [146, 170]], ['left', [360, 500], [160, 356]], ['down', [360, 500], [279, 351]], ['right', [360, 500], [229, 409]], ['down', [360, 500], [379, 373]], ['right', [360, 500], [420, 222]], ['up', [360, 500], [248, 266]], ['left', [360, 500], [211, 362]], ['down', [360, 500], [416, 366]], ['right', [360, 500], [387, 271]], ['up', [360, 500], [236, 326]], ['left', [360, 500], [310, 138]], ['up', [360, 500], [135, 171]], ['left', [360, 500], [175, 315]], ['down', [360, 500], [337, 353]], ['right', [360, 500], [579, 444]], ['down', [360, 500], [442, 380]], ['left', [360, 500], [360, 264]], ['up', [360, 500], [576, 300]], ['right', [360, 500], [611, 445]], ['down', [360, 500], [455, 380]], ['left', [360, 500], [376, 158]], ['up', [360, 500], [499, 159]], ['right', [360, 500], [455, 109]], ['up', [360, 500], [372, 116]], ['left', [360, 500], [221, 196]], ['down', [360, 500], [463, 323]], ['right', [360, 500], [455, 222]], ['up', [360, 500], [374, 167]], ['left', [360, 500], [283, 259]], ['down', [360, 500], [492, 342]], ['right', [360, 500], [451, 239]], ['up', [360, 500], [429, 213]], ['left', [360, 500], [413, 298]], ['down', [360, 500], [491, 296]], ['right', [360, 500], [476, 340]], ['down', [360, 500], [386, 302]], ['left', [360, 500], [227, 254]], ['up', [360, 500], [182, 265]], ['left', [360, 500], [186, 379]], ['down', [360, 500], [556, 436]], ['right', [360, 500], [322, 243]], ['up', [360, 500], [243, 289]], ['left', [360, 500], [230, 163]], ['down', [360, 500], [482, 364]], ['right', [360, 500], [387, 152]], ['up', [360, 500], [298, 171]], ['left', [360, 500], [218, 293]], ['down', [360, 500], [497, 297]], ['right', [360, 500], [340, 221]], ['up', [360, 500], [190, 220]], ['left', [360, 500], [169, 270]], ['down', [360, 500], [407, 323]], ['right', [360, 500], [244, 197]], ['up', [360, 500], [202, 184]], ['left', [360, 500], [205, 243]], ['down', [360, 500], [308, 256]], ['right', [360, 500], [370, 190]], ['up', [360, 500], [319, 184]], ['left', [360, 500], [224, 300]], ['down', [360, 500], [368, 351]], ['right', [360, 500], [404, 234]], ['up', [360, 500], [344, 293]], ['left', [360, 500], [253, 326]], ['down', [360, 500], [530, 317]], ['right', [360, 500], [272, 351]]]"
,,,,,
22:59:41,80.7,105,12,effective,"[['right', [-20, 440], [311, 246]], ['down', [-20, 440], [255, 314]], ['left', [-20, 440], [168, 164]], ['up', [-20, 440], [313, 81]], ['right', [-20, 440], [302, 279]], ['down', [-20, 440], [220, 310]], ['left', [-20, 440], [172, 299]], ['up', [-20, 440], [273, 326]], ['right', [-20, 440], [311, 360]], ['down', [-20, 440], [183, 365]], ['left', [-20, 440], [229, 326]], ['up', [-20, 440], [304, 83]], ['right', [-20, 440], [433, 373]], ['down', [-20, 440], [237, 374]], ['left', [-20, 440], [232, 246]], ['up', [-20, 440], [306, 64]], ['right', [-20, 440], [296, 355]], ['down', [-20, 440], [206, 374]], ['left', [-20, 440], [231, 238]], ['up', [-20, 440], [95, 106]], ['left', [-20, 440], [106, 405]], ['down', [-20, 440], [292, 359]], ['right', [-20, 440], [276, 211]], ['up', [-20, 440], [473, 254]], ['right', [-20, 440], [606, 428]], ['down', [-20, 440], [376, 392]], ['left', [-20, 440], [31, 301]], ['up', [-20, 440], [298, 293]], ['right', [-20, 440], [458, 349]], ['down', [-20, 440], [538, 363]], ['right', [-20, 440], [481, 165]], ['up', [-20, 440], [429, 371]], ['left', [-20, 440], [444, 193]], ['up', [-20, 440], [323, 213]], ['left', [-20, 440], [368, 270]], ['down', [-20, 440], [507, 265]], ['right', [-20, 440], [499, 197]], ['up', [-20, 440], [195, 207]], ['left', [-20, 440], [347, 307]], ['down', [-20, 440], [552, 301]], ['right', [-20, 440], [547, 125]], ['up', [-20, 440], [351, 221]], ['left', [-20, 440], [103, 169]], ['down', [-20, 440], [385, 233]], ['right', [-20, 440], [327, 103]], ['up', [-20, 440], [518, 84]], ['right', [-20, 440], [556, 260]], ['down', [-20, 440], [278, 166]], ['left', [-20, 440], [239, 48]], ['up', [-20, 440], [96, 181]], ['left', [-20, 440], [184, 297]], ['down', [-20, 440], [450, 305]], ['right', [-20, 440], [314, 126]], ['up', [-20, 440], [500, 252]], ['right', [-20, 440], [568, 464]], ['down', [-20, 440], [168, 405]], ['left', [-20, 440], [308, 155]], ['up', [-20, 440], [106, 30]], ['left', [-20, 440], [183, 301]], ['down', [-20, 440], [315, 303]], ['right', [-20, 440], [441, 428]], ['down', [-20, 440], [153, 423]], ['left', [-20, 440], [222, 477]], ['down', [-20, 440], [0, 409]]]"
23:00:58,73.48,125,14,effective,"[['right', [660, 240], [297, 426]], ['down', [660, 240], [39, 425]], ['left', [660, 240], [200, 284]], ['up', [660, 240], [446, 313]], ['right', [660, 240], [585, 141]], ['up', [660, 240], [478, 261]], ['left', [660, 240], [367, 79]], ['up', [660, 240], [588, 113]], ['right', [660, 240], [583, 343]], ['down', [660, 240], [202, 199]], ['left', [660, 240], [401, 433]], ['down', [660, 240], [616, 382]], ['right', [660, 240], [578, 72]], ['up', [660, 240], [220, 163]], ['left', [660, 240], [418, 23]], ['up', [660, 240], [555, 65]], ['right', [660, 240], [622, 336]], ['down', [660, 240], [310, 304]], ['left', [660, 240], [47, 410]], ['down', [660, 240], [471, 460]], ['right', [660, 240], [337, 259]], ['up', [660, 240], [57, 366]], ['left', [660, 240], [198, 477]], ['down', [660, 240], [463, 456]], ['right', [660, 240], [623, 296]], ['up', [660, 240], [59, 241]], ['left', [660, 240], [131, 348]], ['down', [660, 240], [437, 387]], ['right', [660, 240], [526, 126]], ['up', [660, 240], [289, 211]], ['left', [660, 240], [402, 348]], ['down', [660, 240], [129, 275]], ['left', [660, 240], [326, 377]], ['down', [660, 240], [489, 344]], ['right', [660, 240], [506, 177]], ['up', [660, 240], [240, 297]], ['left', [660, 240], [327, 451]], ['down', [660, 240], [114, 433]], ['left', [660, 240], [239, 243]], ['up', [660, 240], [434, 327]], ['right', [660, 240], [449, 464]], ['down', [660, 240], [564, 456]], ['right', [660, 240], [601, 271]], ['up', [660, 240], [201, 299]], ['left', [660, 240], [170, 155]], ['up', [660, 240], [82, 165]], ['left', [660, 240], [136, 355]], ['down', [660, 240], [306, 385]], ['right', [660, 240], [139, 103]], ['up', [660, 240], [84, 123]], ['left', [660, 240], [92, 69]], ['up', [660, 240], [260, 158]], ['right', [660, 240], [131, 278]], ['down', [660, 240], [387, 259]], ['right', [660, 240], [322, 59]], ['up', [660, 240], [467, 87]], ['right', [660, 240], [608, 326]], ['down', [660, 240], [433, 418]], ['left', [660, 240], [407, 71]], ['up', [660, 240], [600, 38]], ['right', [660, 240], [617, 247]], ['down', [660, 240], [400, 167]], ['left', [660, 240], [568, 345]], ['down', [660, 240], [619, 389]]]"
23:01:45,42.33,85,10,effective,"[['right', [260, -20], [307, 405]], ['down', [260, -20], [507, 407]], ['right', [260, -20], [411, 105]], ['up', [260, -20], [234, 35]], ['left', [260, -20], [170, 206]], ['down', [260, -20], [361, 205]], ['right', [260, -20], [287, 52]], ['up', [260, -20], [476, 36]], ['right', [260, -20], [408, 186]], ['down', [260, -20], [235, 139]], ['left', [260, -20], [344, 166]], ['down', [260, -20], [428, 123]], ['right', [260, -20], [449, 373]], ['down', [260, -20], [320, 339]], ['left', [260, -20], [331, 428]], ['down', [260, -20], [483, 422]], ['right', [260, -20], [505, 243]], ['up', [260, -20], [337, 132]], ['left', [260, -20], [237, 272]], ['down', [260, -20], [475, 262]], ['right', [260, -20], [636, 457]], ['down', [260, -20], [378, 390]], ['left', [260, -20], [402, 173]], ['up', [260, -20], [304, 313]], ['left', [260, -20], [223, 116]], ['up', [260, -20], [566, 158]], ['right', [260, -20], [420, 407]], ['down', [260, -20], [110, 275]], ['left', [260, -20], [145, 446]], ['down', [260, -20], [423, 408]], ['right', [260, -20], [402, 162]], ['up', [260, -20], [132, 13]], ['left', [260, -20], [201, 210]], ['down', [260, -20], [470, 298]], ['right', [260, -20], [348, 38]]]"
,,,,,
23:12:00,35.43,85,10,effective,"[['right', [60, 500], [299, 241]], ['down', [60, 500], [264, 279]], ['left', [60, 500], [170, 382]], ['down', [60, 500], [252, 370]], ['right', [60, 500], [252, 176]], ['up', [60, 500], [164, 237]], ['left', [60, 500], [122, 184]], ['up', [60, 500], [128, 196]], ['right', [60, 500], [179, 231]], ['down', [60, 500], [155, 276]], ['left', [60, 500], [137, 213]], ['up', [60, 500], [180, 223]], ['right', [60, 500], [180, 225]], ['down', [60, 500], [315, 269]], ['right', [60, 500], [277, 201]], ['right', [60, 500], [277, 201]], ['up', [60, 500], [471, 191]], ['right', [60, 500], [185, 172]], ['up', [60, 500], [197, 220]], ['left', [60, 500], [191, 296]], ['down', [60, 500], [246, 393]], ['left', [60, 500], [198, 401]], ['down', [60, 500], [53, 404]], ['left', [60, 500], [160, 289]], ['up', [60, 500], [447, 336]], ['right', [60, 500], [297, 446]], ['down', [60, 500], [222, 436]], ['left', [60, 500], [174, 283]], ['up', [60, 500], [479, 279]], ['right', [60, 500], [426, 385]], ['down', [60, 500], [552, 279]], ['right', [60, 500], [456, 237]], ['up', [60, 500], [325, 406]], ['left', [60, 500], [348, 436]], ['down', [60, 500], [269, 406]], ['left', [60, 500], [341, 333]], ['up', [60, 500], [419, 283]], ['right', [60, 500], [430, 182]], ['up', [60, 500], [237, 157]], ['left', [60, 500], [179, 371]], ['down', [60, 500], [107, 464]], ['left', [60, 500], [53, 459]], ['down', [60, 500], [52, 460]], ['left', [60, 500], [49, 461]], ['down', [60, 500], [49, 466]], ['left', [60, 500], [49, 467]], ['down', [60, 500], [49, 467]], ['right', [60, 500], [49, 467]], ['down', [60, 500], [49, 467]], ['left', [60, 500], [49, 467]], ['down', [60, 500], [49, 467]], ['right', [60, 500], [49, 467]], ['down', [60, 500], [49, 467]], ['right', [60, 500], [49, 464]]]"
23:12:13,9.21,16,2,effective,"[['right', [520, 140], [331, 321]], ['down', [520, 140], [370, 297]], ['right', [520, 140], [305, 312]], ['down', [520, 140], [303, 312]], ['right', [520, 140], [302, 312]], ['up', [520, 140], [301, 312]], ['right', [520, 140], [297, 312]], ['down', [520, 140], [296, 313]], ['right', [520, 140], [296, 316]], ['up', [520, 140], [298, 320]], ['left', [520, 140], [371, 247]], ['up', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['down', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['down', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['up', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['up', [520, 140], [528, 152]], ['right', [520, 140], [528, 152]], ['down', [520, 140], [519, 153]], ['right', [520, 140], [519, 153]], ['up', [520, 140], [519, 153]], ['right', [520, 140], [519, 153]], ['down', [520, 140], [520, 153]], ['right', [520, 140], [526, 155]], ['up', [520, 140], [543, 154]], ['right', [520, 140], [531, 157]], ['down', [520, 140], [531, 157]], ['right', [520, 140], [528, 157]], ['down', [520, 140], [527, 156]], ['right', [520, 140], [527, 155]], ['up', [520, 140], [526, 155]], ['right', [520, 140], [526, 155]], ['up', [520, 140], [525, 154]], ['right', [520, 140], [525, 154]], ['down', [520, 140], [525, 156]], ['right', [520, 140], [526, 158]], ['down', [520, 140], [526, 158]], ['left', [520, 140], [526, 158]]]"
23:12:34,18.03,24,3,effective,"[['right', [660, 400], [327, 249]], ['down', [660, 400], [306, 316]], ['right', [660, 400], [303, 315]], ['down', [660, 400], [303, 315]], ['right', [660, 400], [303, 314]], ['down', [660, 400], [303, 314]], ['right', [660, 400], [306, 311]], ['up', [660, 400], [306, 311]], ['right', [660, 400], [306, 311]], ['up', [660, 400], [306, 309]], ['right', [660, 400], [306, 308]], ['down', [660, 400], [306, 308]], ['right', [660, 400], [306, 307]], ['down', [660, 400], [353, 302]], ['right', [660, 400], [319, 308]], ['up', [660, 400], [316, 313]], ['left', [660, 400], [315, 313]], ['up', [660, 400], [315, 313]], ['left', [660, 400], [315, 313]], ['up', [660, 400], [315, 313]], ['left', [660, 400], [315, 313]], ['up', [660, 400], [520, 136]], ['right', [660, 400], [511, 133]], ['up', [660, 400], [510, 133]], ['right', [660, 400], [510, 133]], ['down', [660, 400], [510, 133]], ['right', [660, 400], [510, 133]], ['up', [660, 400], [510, 133]], ['right', [660, 400], [510, 133]], ['down', [660, 400], [510, 133]], ['right', [660, 400], [510, 133]], ['down', [660, 400], [510, 133]], ['right', [660, 400], [510, 133]], ['up', [660, 400], [509, 133]], ['right', [660, 400], [509, 133]], ['down', [660, 400], [509, 133]], ['right', [660, 400], [509, 133]], ['up', [660, 400], [509, 134]], ['right', [660, 400], [513, 141]], ['down', [660, 400], [408, 205]], ['left', [660, 400], [416, 170]], ['up', [660, 400], [416, 170]], ['right', [660, 400], [416, 164]], ['up', [660, 400], [413, 156]], ['right', [660, 400], [413, 156]], ['up', [660, 400], [413, 156]], ['left', [660, 400], [413, 156]], ['up', [660, 400], [305, 242]], ['left', [660, 400], [623, 386]], ['down', [660, 400], [623, 386]], ['right', [660, 400], [623, 386]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['up', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['up', [660, 400], [625, 393]], ['right', [660, 400], [625, 393]], ['down', [660, 400], [625, 393]], ['right', [660, 400], [627, 398]], ['up', [660, 400], [627, 397]]]"
,,,,,
