实验时间,"时间	",分数,按键次数,备注,按键记录
20:16:30,109.94,315,30,effective,"['down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'down', 'left', 'right', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'up']"
,,,,,
20:17:07,31.91,85,10,effective,"['down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up']"
20:36:29,76.72,135,15,effective,"['down', 'left', 'right', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'left']"
,,,,,
20:38:53,134.35,263,26,effective,"['right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'left', 'down', 'left', 'down', 'right', 'up', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left']"
,,,,,
20:40:41,102.6,168,18,effective,"['down', 'left', 'up', 'right', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left']"
,,,,,
20:47:50,14.89,24,3,effective,"['down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'left']"
,,,,,
20:48:30,9.96,8,1,effective,"['down', 'right', 'up', 'right', 'down', 'right', 'up']"
,,,,,
20:49:44,68.51,115,13,effective,"['right', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down']"
22:34:43,126.46,343,32,effective,"['down', 'left', 'left', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'down', 'right', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'up']"
,,,,,
22:36:05,74.16,238,24,effective,"['down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'left']"
,,,,,
22:36:44,32.79,76,9,effective,"['down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'down', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'right', 'up', 'right', 'up', 'right', 'right', 'up', 'right', 'down', 'right', 'down', 'right', 'up']"
,,,,,
22:56:33,57.59,190,20,effective,"['down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left']"
,,,,,
22:57:53,69.11,202,21,effective,"['down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right']"
,,,,,
22:58:12,13.74,16,2,effective,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'left']"
,,,,,
23:08:14,109.02,329,31,effective,"['down', 'right', 'down', 'left', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'left', 'down', 'left', 'up', 'down', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'up', 'up', 'left', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down']"
,,,,,
23:09:41,72.49,202,21,effective,"['down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'right', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'down']"
,,,,,
23:11:12,87.84,226,23,effective,"['down', 'left', 'down', 'right', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down']"
,,,,,
23:16:44,95.35,135,15,effective,"['down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down']"
,,,,,
23:18:44,111,250,25,effective,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right']"
,,,,,
23:19:52,64.28,168,18,effective,"['down', 'left', 'right', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right']"
,,,,,
1.152928241,6.69,0,0,effective,"['down', 'left', 'up', 'left', 'down']"
,,,,,
0.917152778,62.79,146,16,effective,"['right', 'down', 'right', 'down', 'left', 'right', 'down', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'left', 'up', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'left', 'down', 'right', 'left', 'down', 'left', 'left', 'up', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right']"
,,,,,
0.923773148,22.99,58,7,effective,"['down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'up', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'down', 'down', 'right', 'down']"
,,,,,
0.924143519,28.34,67,8,effective,"['down', 'left', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'right', 'up', 'right', 'up', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'up']"
,,,,,
0.965497685,56.78,135,15,effective,"['down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'down', 'left', 'down', 'left', 'down', 'right', 'up']"
,,,,,
0.965810185,20.57,32,4,effective,"['down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'down', 'right', 'up']"
,,,,,
0.972349537,18.67,49,6,effective,"['down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left']"
,,,,,
0.95869213,18.87,32,4,effective,"['down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up']"
,,,,,
0.965949074,83.34,250,25,effective,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down']"
,,,,,
0.972847222,50.7,157,17,effective,"['down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'left']"
,,,,,
1.090439815,19.92,0,0,effective,"['down', 'left', 'left', 'up', 'down', 'right', 'right', 'down', 'right', 'down', 'right', 'right', 'right', 'up', 'left', 'left', 'left', 'up', 'right', 'down', 'left', 'left', 'right', 'right']"
,,,,,
1.090694444,17.78,8,1,effective,"['down', 'left', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'left', 'down', 'right']"
,,,,,
1.097662037,57.31,67,8,effective,"['down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'down', 'left']"
,,,,,
18:020:19,50.85,49,6,effective,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'right']"
,,,,,
18:020:54,31.53,40,5,effective,"['down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left']"
,,,,,
18:030:19,20.8,16,2,effective,"['down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'left']"
,,,,,
