实验时间,"时间	",分数,按键次数,备注,按键记录
18:040:21,58.17,95,11,effective,"['down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'up']"
,,,,,
0.938101852,25.73,40,5,effective,"['down', 'down', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'down']"
,,,,,
0.951979167,107.05,214,22,effective,"['down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'down', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'left', 'up', 'left', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right']"
,,,,,
0.958738426,38.16,58,7,effective,"['down', 'left', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left']"
,,,,,
1.000081019,46.06,105,12,effective,"['down', 'left', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left']"
,,,,,
1.000439815,25.86,49,6,effective,"['down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up']"
,,,,,
1.007291667,48.42,115,13,effective,"['down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up']"
,,,,,
20:38:34,92.68,329,31,effective,"['down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'left', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'right']"
,,,,,
20:39:36,56.25,168,18,effective,"['down', 'right', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'right', 'down']"
,,,,,
20:41:24,101.62,263,26,effective,"['down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'left', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'right', 'down', 'left', 'down', 'left']"
